chapter_topic,page_topic,prompt
 Multivariate Model Comparisons,Using `shuffle()` for Targeted Model Comparisons (Part 2),Which of these lines of code will calculate the p-value for <code>HomeSizeK_f</code>&nbsp;based on the shuffled sampling distribution of Fs?
 Multivariate Model Comparisons,Deciding Which Predictors to Include in a Model,"# code to make ANOVA table for multivariate model
supernova(lm(PriceK ~ HomeSizeK + HasFireplace, data = Smallville))

# add code to get ANOVA tables for each of the two single-predictor models

"
 Multivariate Model Comparisons,Deciding Which Predictors to Include in a Model,Which p-value indicates that the multivariate model is significantly better than the empty model?
 Multivariate Model Comparisons,Deciding Which Predictors to Include in a Model,"Based on the Venn diagram, how do you think the PRE for <code>HomeSizeK</code> for the single-predictor home size model (A+B) would compare to the PRE for <code>HomeSizeK</code> in the multivariate model (A)?"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"Substituting in the parameter estimates, how would you write the best-fitting model of this data in GLM notation? (Check all that apply.)"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,What would you expect to see if we overlay the model predictions on the plot above?
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"Using the output from the <code>lm()</code> function, we can figure out how $$X_{1i}$$ and $$X_{2i}$$ have been dummy coded. What does $$X_{1i}$$ stand for?"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,How should we interpret the 30.4264 (Intercept) parameter estimate?
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,What would the model predict the tip percent to be for a table that got a smiley face and a male server?
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"<p>The best-fitting model is:</p>

<p>&nbsp;$$\text{tip_percent}_i = 30.42 + .74\text{conditionsmiley}_{1i}&nbsp; + -10.67\text{gendermale}_{i}+e_i$$</p>

<p>The $$b_0$$ estimate is 30.42. It is the predicted tip percent when <code>conditionsmiley face</code> and <code>gendermale</code> both equal 0. Which of the predictions in the visualization above does $$b_0$$ correspond to?&nbsp;</p>
"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"Which part of the plot (labeled A, B, C, D) represents $$b_2$$? (Check all that apply.)"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,Regression lines that are parallel have:
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"# find the best-fitting parameter estimates
"
 Multivariate Model Comparisons,Models with Multiple Categorical Predictors,"# write code to save this model as multi_model
lm(formula = tip_percent ~ condition + gender, data = tip_exp)

# this makes a faceted jitter plot of our data
# write code to overlay the multi_model onto it
gf_jitter(tip_percent ~ condition, color = ~condition, data = tip_exp, width = .1)  %>%
  gf_facet_grid(. ~ gender)
"
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,"# here is the code to find the best-fitting model
# modify this to generate the ANOVA table for this model
lm(tip_percent ~ condition + gender, data = tip_exp)
"
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,What about the p-value for `condition` (0.7283). What models are being compared with this p-value?
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,"First, let’s take a look at the p-value in the <code>Model (error reduced)</code> row. What does this p-value tell us?"
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,The 95% confidence interval for <code>conditionsmiley face</code> covers the range from -3.48 to 4.96. What does the fact that 0 is included in this confidence interval mean?&nbsp;
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,"In an experiment (with random assignment), the research design ensures that:"
 Multivariate Model Comparisons,Error and Inference from Models with Multiple Categorical Predictors,"In an observational study (with no random assignment), the research design ensures that:"
 Understanding Data,Starting with a Bunch of Numbers,"# Here's how to combine nine 2s into a vector
# You could also use rep(2, times = 9)
bunch_of_2s <- c(2, 2, 2, 2, 2, 2, 2, 2, 2)

# Create a vector called bunch_of_123s with the numbers
# 2, 1, 3, 3, 2, 3, 1, 2, 1
bunch_of_123s <- c()
"
 Understanding Data,Starting with a Bunch of Numbers,"# Here is code to create the vector that we named bunch_of_2s
bunch_of_2s <- c(2,2,2,2,2,2,2,2,2)

# Now, let's run the tally() function on bunch_of_2s
"
 Understanding Data,Starting with a Bunch of Numbers,What do you think the first row of numbers in the output of the <code>tally()</code> function tells you?
 Understanding Data,Starting with a Bunch of Numbers,What does the second row of numbers tell you?
 Understanding Data,Chapter 2 Review Questions,1. What's true about data?
 Understanding Data,Chapter 2 Review Questions,"2. If you're told that there's measurement error in how one of your variables was recorded, which of the following could be true?"
 Understanding Data,Chapter 2 Review Questions,3. What's true of sampling variation?
 Understanding Data,Chapter 2 Review Questions,"<p>4. Here are some data from a study of mercury levels in Florida lakes.&nbsp;Researchers analyzed samples of water (collected in standardized test tubes) from each lake. The study included 53 lakes in Florida and the data were put in a data frame called <code>FloridaLakes</code>.&nbsp;What R command produced the printout below?</p>

<pre><code>   ID         Lake Alkalinity  pH Calcium Chlorophyll AvgMercury NumSamples
1   1    Allifator        5.9 6.1     3.0         0.7       1.23          5
2   2        Annie        3.5 5.1     1.9         3.2       1.33          7
3   3       Apopka      116.0 9.1    44.1       128.3       0.04          6
4   4 Blue Cypress       39.4 6.9    16.4         3.5       0.44         12
5   5        Brick        2.5 4.6     2.9         1.8       1.20         12
6   6       Bryant       19.6 7.3     4.5        44.1       0.27         14
   MinMercury MaxMercury ThreeYrStdMercury AgeData
1        0.85       1.43              1.53       1
2        0.92       1.90              1.33       0
3        0.04       0.06              0.04       0
4        0.13       0.84              0.44       0
5        0.69       1.50              1.33       1
6        0.04       0.48              0.25       1
</code></pre>
"
 Understanding Data,Chapter 2 Review Questions,5. The study included 53 lakes in Florida. Where is this information in the data frame?
 Understanding Data,Chapter 2 Review Questions,6. The rows in this data frame represent _____ and columns represent _____.
 Understanding Data,Chapter 2 Review Questions,"7. If you'd like to see an overview of what's in the data frame—a list of your variables, whether they're numeric or factors, and so forth—what command would you use?"
 Understanding Data,Chapter 2 Review Questions,"<p>8. Look at the image below.&nbsp;What are examples of a research unit (or case), a variable, and a value, respectively?</p>

<pre><code>   ID         Lake Alkalinity  pH Calcium Chlorophyll AvgMercury NumSamples
1   1    Allifator        5.9 6.1     3.0         0.7       1.23          5
2   2        Annie        3.5 5.1     1.9         3.2       1.33          7
3   3       Apopka      116.0 9.1    44.1       128.3       0.04          6
4   4 Blue Cypress       39.4 6.9    16.4         3.5       0.44         12
5   5        Brick        2.5 4.6     2.9         1.8       1.20         12
6   6       Bryant       19.6 7.3     4.5        44.1       0.27         14
   MinMercury MaxMercury ThreeYrStdMercury AgeData
1        0.85       1.43              1.53       1
2        0.92       1.90              1.33       0
3        0.04       0.06              0.04       0
4        0.13       0.84              0.44       0
5        0.69       1.50              1.33       1
6        0.04       0.48              0.25       1
</code></pre>
"
 Understanding Data,Chapter 2 Review Questions,9. Which of the following from <code>FloridaLakes</code> are quantitative variables? (Check all that apply.)
 Understanding Data,Chapter 2 Review Questions,10. How would you quickly find the total number of water samples (or test tubes) collected across all of the lakes in your study?
 Understanding Data,Chapter 2 Review Questions,"11. The data frame is currently organized alphabetically by lake. What if you'd like to see it ordered by average mercury level, with the most polluted lake appearing first on the list? Save the result back into&nbsp;<code>FloridaLakes</code>."
 Understanding Data,Chapter 2 Review Questions,"<p>12. You've been commissioned to do a study of all lakes with average mercury levels above 1. You want to save the data of the lakes that meet this criterion to a new data frame called&nbsp;<code>HighMercury</code>. What's wrong with the following code?</p>

<p><code>HighMercury&nbsp;&lt;- filter(floridalakes, avgmercury &gt; 1)</code></p>
"
 Understanding Data,Chapter 2 Review Questions,"13. If you want to quickly see the&nbsp;<em>name</em>&nbsp;of the lake with the lowest average mercury level, what R command might you run?"
 Understanding Data,Chapter 2 Review Questions,"14. You'd like to see the first 10 rows of&nbsp;<code>FloridaLakes</code>, so you run head(<code>FloridaLakes</code>). It doesn't give you what you wanted. Why not?"
 Understanding Data,Chapter 2 Review Questions,"15. You run the following command: <code>RandomLakes &lt;- sample(FloridaLakes, 10)</code>. What will be the result?"
 Understanding Data,Chapter 2 Review Questions,16. Let's say you want to filter your data so that you do NOT include lakes that have missing data for&nbsp;<code>Chlorophyll</code>. What line of code will do that?
 Understanding Data,Chapter 2 Review Questions,"17. If you wanted to generalize to all lakes in Florida, but only included lakes within a 50 km radius of the research center in your study; what should concern you? (Check all that apply.)"
 Understanding Data,Chapter 2 Review Questions 2,"<p><code>NutritionStudy</code> contains data for 315 patients at a hospital who had a noncancerous growth removed through surgery.&nbsp; It includes the following variables:</p>

<ul>
	<li><code>ID</code> ID number for each subject in this sample</li>
	<li><code>Age</code> Subject's age (in years)</li>
	<li><code>Vitamin</code> Vitamin use: 1=Regular, 2=Occasional, or 3=No</li>
	<li><code>Calories</code> Number of calories consumed per day</li>
	<li><code>Fat</code> Grams of fat consumed per day</li>
	<li><code>Fiber</code> Grams of fiber consumed per day</li>
	<li><code>Alcohol</code> Number of alcoholic drinks consumed per week</li>
	<li><code>Cholesterol</code> Cholesterol consumed per day, in mg</li>
	<li><code>Gender</code> Coded as Female or Male</li>
	<li><code>EverSmoke</code> Smoking status: Never, Former, or Current&nbsp;</li>
</ul>

<p>Here's the result from running <code>head(NutritionStudy)</code>:</p>

<pre><code> Age Vitamin Calories  Fat Fiber Alcohol Cholesterol Gender EverSmoke
1 64       1   1298.8 57.0   6.3     0.0       170.3 Female    Former
2 76       1   1032.5 50.1  15.8     0.0        75.8 Female     Never
3 38       2   2372.3 83.6  19.1    14.1       257.9 Female    Former
4 40       3   2449.5 97.5  26.5     0.5       332.6 Female    Former
5 72       1   1952.1 82.6  16.2     0.0       170.8 Female     Never
6 40       3   1366.9 56.0   9.6     1.3       154.6 Female    Former
</code></pre>

<p>1. The rows in the <code>NutritionStudy</code> data frame represent _____ and the columns represent _____.</p>
"
 Understanding Data,Chapter 2 Review Questions 2,"2. In the <code>NutritionStudy</code> data frame, the number 6.3 appears in the column labeled <code>Fiber</code>. This 6.3 is an example of:"
 Understanding Data,Chapter 2 Review Questions 2,"<p>&nbsp;</p>

<pre><code> Age Vitamin Calories  Fat Fiber Alcohol Cholesterol Gender EverSmoke
1 64       1   1298.8 57.0   6.3     0.0       170.3 Female    Former
2 76       1   1032.5 <span style=""color: blue""><b>50.1</b></span>  15.8     0.0        75.8 Female     Never
3 38       2   2372.3 83.6  19.1    14.1       257.9 Female    Former
4 40       3   2449.5 97.5  26.5     0.5       332.6 Female    Former
5 72       1   1952.1 82.6  16.2     0.0       170.8 Female     Never
6 40       3   1366.9 56.0   9.6     1.3       154.6 Female    Former
</code></pre>

<p>3. A researcher was interested in the fat content in patients' diets. What does the 50.1 (in blue) represent?</p>
"
 Understanding Data,Chapter 2 Review Questions 2,4. The nutrition study included 315 patients. Where is this information represented in the data frame?
 Understanding Data,Chapter 2 Review Questions 2,5. Which of the following from the <code>NutritionStudy</code> is a quantitative variable?
 Understanding Data,Chapter 2 Review Questions 2,6. Use the window above to write some code that will show you the values for <code>Age</code> and <code>Alcohol</code> for patients in the <code>NutritionStudy</code> data frame. The last study participant is 45 years old. How many alcoholic drinks does she consume per week?
 Understanding Data,Chapter 2 Review Questions 2,"7. You run the following command: <code>RandomPatients &lt;- sample(NutritionStudy, 10)</code>. What will be the result?"
 Understanding Data,Chapter 2 Review Questions 2,8. Which of the following lines of R code would save only the patients with less than 200 drinks per week into a new data frame called <code>NutriStudy</code>?
 Understanding Data,Chapter 2 Review Questions 2,"9. The <code>FloridaLakes</code> data frame includes information collected by researchers when they analyzed samples of water (collected in standardized test tubes) from a number of lakes. Using&nbsp;the window above, determine how many lakes are included in the data frame.
<p>&nbsp;</p>

<pre><code>   ID         Lake Alkalinity  pH Calcium Chlorophyll AvgMercury NumSamples
1   1    Allifator        5.9 6.1     3.0         0.7       1.23          5
2   2        Annie        3.5 5.1     1.9         3.2       1.33          7
3   3       Apopka      116.0 9.1    44.1       128.3       0.04          6
4   4 Blue Cypress       39.4 6.9    16.4         3.5       0.44         12
5   5        Brick        2.5 4.6     2.9         1.8       1.20         12
6   6       Bryant       19.6 7.3     4.5        44.1       0.27         14
   MinMercury MaxMercury ThreeYrStdMercury AgeData
1        0.85       1.43              1.53       1
2        0.92       1.90              1.33       0
3        0.04       0.06              0.04       0
4        0.13       0.84              0.44       0
5        0.69       1.50              1.33       1
6        0.04       0.48              0.25       1
</code></pre>
"
 Understanding Data,Chapter 2 Review Questions 2,"10. Using the window above, determine how many variables there are in the <code>FloridaLakes</code> data frame."
 Understanding Data,Chapter 2 Review Questions 2,11. What's the name of the LAST lake in the <code>FloridaLakes</code> data frame?
 Understanding Data,Chapter 2 Review Questions 2,12. The <code>FloridaLakes</code> data frame includes a variable called <code>Calcium</code>. How many lakes have a <code>Calcium</code> level that exceeds 5.0? (Hint: Try using the tally command.)
 Understanding Data,Chapter 2 Review Questions 2,13. Arrange the <code>FloridaLakes</code> data frame by the variable called <code>Calcium</code>. What is the name of the lake with the lowest amount of <code>Calcium</code>?
 Understanding Data,Chapter 2 Review Questions 2,14. Tally up the number of lakes for which the variable <code>AgeData</code> is 0. How many are there?
 Understanding Data,Chapter 2 Review Questions 2,"15. In the <code>FloridaLakes</code> data frame, what kind of variable is <code>AgeData</code>?"
 Understanding Data,From Numbers to Data,"<p>In this snippet of data, there are 6 ages listed: 35, 45, 52, 29, 38, and 39. Does this mean there are six variables for Age?</p>

<pre>
<code>    Condition  Age   Wt    Wt2
1  Uninformed   35  136  135.8
2  Uninformed   45  162  161.8
3    Informed   52  117  116.8
4    Informed   29  184  182.8
5  Uninformed   38  134  136.6
6    Informed   39  189  183.2
</code></pre>
"
 Understanding Data,From Numbers to Data,Which of these are values and which are variables?
 Understanding Data,From Numbers to Data,"<pre>
<code>    Condition  Age   Wt    Wt2
1  Uninformed   35  136  135.8
2  Uninformed   45  162  161.8
3    Informed   52  117  116.8
4    Informed   29  184  182.8
5  Uninformed   38  134  136.6
6    Informed   39  189  183.2
</code></pre>

<p>How many variables are shown in this snippet of data?</p>
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# Use the $ sign to print out the contents of the Age variable in the MindsetMatters data frame
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# Try typing MindsetMatters to see what is in the data frame.
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# Run this code to get the first 6 rows of MindsetMatters
head(MindsetMatters)
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# Run this code to see the structure of MindsetMatters
str(MindsetMatters)
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# Use tally() with the MindsetMatters data frame to create a frequency table of housekeepers by Condition
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# save MindsetMatters, arranged by Age, back to MindsetMatters
arrange(MindsetMatters, Age)

# write code to print out the first 6 rows of MindsetMatters
"
 Understanding Data,A Data Frame Example: MindsetMatters,"# arrange MindsetMatters by Wt in descending order
MindsetMatters <-

# write code to print out a few rows of MindsetMatters
"
 Understanding Data,A Data Frame Example: MindsetMatters,"The <code>arrange()</code> function will print out the data set sorted by <code>Age</code>. But if you printed out <code>MindsetMatters</code>, it won't be sorted by <code>Age</code>. Why?"
 Understanding Data,Measurement,"# Remember the head() command?
# Use it to look at the first six rows of Fingers
"
 Understanding Data,Measurement,"# Try it and see what happens
head(Fingers, 3)
"
 Understanding Data,Measurement,"# Try using tail() to look at the last 6 rows of the Fingers data frame.
"
 Understanding Data,Measurement,"# this turns Sex into a factor:
Fingers$Sex <- factor(Fingers$Sex)

# click <submit>: this code will produce an error because you can't sum a factor
sum(Fingers$Sex)
"
 Understanding Data,Measurement,"# Interest has been coded numerically in the Fingers data.frame
# Modify the following to convert it to factor and store it as InterestFactor in Fingers
Fingers$InterestFactor <-
"
 Understanding Data,Measurement,"# A way to look at a data frame is to type its name
# Look at the data frame called Fingers
"
 Understanding Data,Measurement,"Would it be okay if in another data set, we decided that 20 was male, 10 was female, and 15 was other?"
 Understanding Data,Measurement,"Click&nbsp;<a href=""https://github.com/UCLATALL/czi-stats-course-files/blob/master/Fingers-Documentation.pdf?raw=true"">here</a>&nbsp;to see how each variable in the <code>Fingers</code> data frame was coded. Based on this information, categorize each variable in the data set as quantitative or categorical."
 Understanding Data,Measurement,"If you wanted to know how many students are in the <code>Fingers</code> data frame, which of the following commands could help you?"
 Understanding Data,Measurement (Continued),"In the same output, what are the values?"
 Understanding Data,Measurement (Continued),"In this output, what is the variable?"
 Understanding Data,Sampling from a Population,"# This takes a random sample of 10 numbers
# from fake_pop and saves them in random_sample
random_sample <- sample(fake_pop, 10)

# This makes a histogram of your sample
gf_histogram(~ random_sample, binwidth=1) +
  scale_x_continuous(limits = c(-.5, 9.5), breaks = c(0:9))
"
 Understanding Data,The Structure of Data,"# Run this code
select(Fingers, Sex, Thumb)
"
 Understanding Data,The Structure of Data,"# Write the code select(Fingers, Sex, Thumb) inside of head()
# as shown in the .gif above
head()
"
 Understanding Data,The Structure of Data,"# Run this code
filter(Fingers, Thumb == 66)
"
 Understanding Data,The Structure of Data,Make a prediction. What do you think would result if you ran the code above?
 Understanding Data,The Structure of Data,Could we use the <code>select()</code> function to just look at students who have a thumb length of 66 in the <code>Fingers</code> data frame?
 Understanding Data,The Structure of Data,Make a prediction. What do you think you would see if you run this code?
 Understanding Data,The Structure of Data,What can you see in this output?
 Understanding Data,The Structure of Data,Which line of code would produce a data frame that includes only the female students from the&nbsp;<code>Fingers</code> data frame?
 Understanding Data,The Structure of Data,"If you wanted to save the result of <code>filter()</code> or <code>select()</code> in a new data frame,&nbsp;which would you use?"
 Understanding Data,The Structure of Data,What do both <code>select()</code> and <code>filter()</code> return?
 Understanding Data,The Structure of Data,"<p>What would be in the data frame that would result from running this code?</p>
<code>select(Fingers, Sex, Thumb, Index, Middle, Ring, Pinkie)</code>"
 Understanding Data,Manipulating Data,"# Arrange SSLast in descending order
Fingers <-

# Print out just the variable SSLast from the Fingers data frame
"
 Understanding Data,Manipulating Data,"# Filter out the students who have missing data for SSLast
Fingers_subset <-

# Print out the variable SSLast from Fingers_subset
"
 Understanding Data,Manipulating Data,"# This code creates a variable called RingLonger
Fingers$RingLonger <- Fingers$Ring > Fingers$Index

# Write code to tally up RingLonger in Fingers.
"
 Understanding Data,Manipulating Data,"# Write code to create this summary variable
Fingers$IndexRingRatio <-

# Will this print anything?
"
 Understanding Data,Manipulating Data,"# Use head() and select() together to look at the first six rows of Ring, Index, and IndexRingRatio
"
 Understanding Data,Manipulating Data,"# This code averages the lengths of the Thumb and Pinkie
# Modify it to find the average length of all five fingers
Fingers$AvgFinger <- (Fingers$Thumb + Fingers$Pinkie)/2

# Write code to look at a few lines of the Fingers data frame

"
 Understanding Data,Manipulating Data,"# Save the recoded version of `Job` to `JobRecode`
Fingers$JobRecode <- recode()

# Write code to print the first 6 observations of `Job` and `JobRecode`
"
 Understanding Data,Manipulating Data,Which of the following statements is/are true about <code>SSLast</code>? (Select all that apply.)
 Understanding Data,Manipulating Data,Which of the following comparison statements would be TRUE if the student had entered in some number for <code>SSLast</code>?
 Understanding Data,Manipulating Data,"From looking at the R code, what kind of value is in the variable <code>RingLonger</code>?"
 Understanding Data,Manipulating Data,What does TRUE mean in this context?
 Understanding Data,Manipulating Data,How would this variable be represented in a tidy data frame?
 Examining Distributions,The Concept of Distribution,"Which are features of the ""forest""? Which are features of the ""tree""?"
 Examining Distributions,The Concept of Distribution,"Let's flesh out this analogy between individual measurements and a distribution. Which of these entities are distributions (i.e., forests)? Which are individuals (i.e., trees)?"
 Examining Distributions,Chapter 3 Review Questions,"<p>On this practice quiz, we're going to be referring to a data frame called <code>USStates</code>. Below is a portion of the data frame as well as definitions of the variables included in it.</p>

<pre><code>       State    IQ Pres2008 Population College PhysicalActivity Smokers
1    Alabama  95.7   McCain   4.525375    24.6             70.3    24.8
2     Alaska  99.0   McCain   0.657755    29.2             79.4    24.9
3    Arizona  97.4   McCain   5.739879    30.8             75.7    20.2
4   Arkansas  97.5   McCain   2.750000    26.7             73.4    23.5
5 California  95.5    Obama  35.842038    31.1             77.2    15.2
6   Colorado 101.6    Obama   4.601821    38.0             81.2    19.8
</code></pre>

<ul>
	<li><code>State</code>&nbsp; Name of state</li>
	<li><code>IQ</code>&nbsp; Mean IQ score of residents</li>
	<li><code>Pres2008</code>&nbsp; Which 2008 Presidential candidate won state? M=McCain or O=Obama</li>
	<li><code>Population</code>&nbsp; Number of residents (in millions)</li>
	<li><code>College</code>&nbsp; Percentage of residents with college degrees</li>
	<li><code>PhysicalActivity</code>&nbsp; Percentage of residents who have competed in a physical activity in the past month</li>
	<li><code>Smokers</code>&nbsp; Percentage of residents who smoke</li>
</ul>

<p>1. Which of the variables below would be appropriate for a histogram?&nbsp;(Check all that apply.)</p>
"
 Examining Distributions,Chapter 3 Review Questions,2. What R code would create a distribution of <code>Smokers</code>?
 Examining Distributions,Chapter 3 Review Questions,"<p>3. What would the following R code do, beyond creating a histogram?</p>

<pre><code>gf_histogram(~ College, data = USStates) %&gt;%
  gf_labs(title = ""Distribution of Residents with College Degrees"", x = ""Percentage"")
</code></pre>
"
 Examining Distributions,Chapter 3 Review Questions,"4. Imagine that you created a histogram of <code>PhysicalActivity</code>. You meant to set it to have 15 bins, but you accidentally set 5 bins instead. How would the result be different from what you hoped?"
 Examining Distributions,Chapter 3 Review Questions,"5. Let's say you make several histograms in the process of exploring the data. Among them is a frequency histogram of <code>PhysicalActivity</code> and a relative frequency histogram of <code>PhysicalActivity</code>. If you used default settings for each of them, what do the two have in common? (Check all that apply.)"
 Examining Distributions,Chapter 3 Review Questions,6. What R code would produce a relative frequency histogram of <code>PhysicalActivity</code>?
 Examining Distributions,Chapter 3 Review Questions,7. Why should you look at a histogram of a variable before you do other statistical analyses? (check all that apply)
 Examining Distributions,Chapter 3 Review Questions,"<p>8. You decide to make a relative frequency histogram for <code>PhysicalActivity</code> and have added the following to your code:</p>
<code>%&gt;% gf_density()</code>

<p>&nbsp;</p>

<p>What will you now see that you didn't see before?</p>
"
 Examining Distributions,Chapter 3 Review Questions,"9. Imagine that the <code>PhysicalActivity</code> histogram is skewed to the right. That is, the skinny, longer tail is on the right. What does that mean?"
 Examining Distributions,Chapter 3 Review Questions,"<p><img alt=""A histogram of the distribution of Population by State in USStates. The values range from about 0 to 35, with most clumped between about 0 to 5. There are fewer states between about 10 and 25, and 1 state around 35."" height=""417"" src=""https://assets.learnosity.com/organisations/430/5a7d367a-dabe-4653-8198-57fa98b08c12.png"" width=""600""></p>

<p>10. The histogram above shows the distribution of population in millions across states.&nbsp;Which of the following statements are true based on the histogram? (Check all that apply.)</p>
"
 Examining Distributions,Chapter 3 Review Questions,11. You create a histogram of <code>IQ</code> and find that it looks relatively normal.&nbsp; Which of the following statements are likely true? (Check all that apply.)
 Examining Distributions,Chapter 3 Review Questions,"<p>12. In our USStates data frame, the variable <code>PhysicalActivity</code> was obtained by surveying a random sample of residents in each state and asking them if they had competed in a physical activity in the last month.&nbsp; Given this information, interpret the 70.3 in the table below.</p>

<pre><code>       State PhysicalActivity
1    Alabama             70.3
2     Alaska             79.4
3    Arizona             75.7
4   Arkansas             73.4
5 California             77.2
6   Colorado             81.2
</code></pre>
"
 Examining Distributions,Chapter 3 Review Questions,"13. In our <code>USStates</code> data frame, the variable <code>PhysicalActivity</code> was obtained by surveying a random sample of residents in each state and asking them if they had competed in a physical activity in the last month. What's our goal in analyzing data like this? (Check all that apply.)"
 Examining Distributions,Chapter 3 Review Questions,"15. If you wanted to get the five-number summary for <code>PhysicalActivity</code>, what R code would you run?"
 Examining Distributions,Chapter 3 Review Questions,"<p>16. If you wanted to see the distribution for <code>College</code> (percentage of residents with college degrees), and run the following R code, what would be wrong?</p>

<p><code>gf_histogram(~ College, data = USStates, bins = 10)</code></p>
"
 Examining Distributions,Chapter 3 Review Questions,18. The variable <code>Pres2008</code> is categorical. It indicated whether it was McCain or Obama who won the state in the 2008 election. Which is the more appropriate visual representation for this data?
 Examining Distributions,Chapter 3 Review Questions,"19. Which of the following R code would quickly help you find the number of states in which McCain won the 2008 election, and the number of states in which Obama won?"
 Examining Distributions,Chapter 3 Review Questions,"20. If you were interested in proportions rather than counts, which argument would you add to your code above?"
 Examining Distributions,Chapter 3 Review Questions 2,"1. The <code>USStates</code> data frame includes information on the percentage of residents in each state who smoke. Data is coded under the variable named <code>Smokers</code>. Produce a histogram of <code>Smokers</code>, without indicating a particular number of bins or indicating a particular bin size. Where is the peak of the histogram?"
 Examining Distributions,Chapter 3 Review Questions 2,2. Revise your basic histogram of <code>Smokers</code> in the <code>USStates</code> data frame so that it includes just 5 bins. Locate the bin that represents the states with the highest percentage of residents who smoke. Around what number is that bin centered?
 Examining Distributions,Chapter 3 Review Questions 2,"3. Experiment, using different numbers of bins in your histogram of <code>Smokers</code>. How can you change the number of bins so that gaps do not appear between the bars in the histogram?"
 Examining Distributions,Chapter 3 Review Questions 2,4. Change your histogram of <code>Smokers</code> in the <code>USStates</code> data frame into a density histogram by using <code>gf_dhistogram()</code> instead of <code>gf_histogram()</code>. What changed?
 Examining Distributions,Chapter 3 Review Questions 2,5. Use <code>%&gt;%</code> notation to add <code>gf_density()</code> (a density plot) to your density histogram of <code>Smokers</code> in <code>USStates</code>. What does the curve look like?
 Examining Distributions,Chapter 3 Review Questions 2,"6. In <code>USStates</code>, what's the median percentage of residents with college degrees? (The variable is aptly named <code>College</code>.)"
 Examining Distributions,Chapter 3 Review Questions 2,7. Between what two values do we see the middle 50% of all <code>IQ</code> scores in the <code>USStates</code> data frame?
 Examining Distributions,Chapter 3 Review Questions 2,8. Create a box plot for <code>College</code> in the <code>USStates</code> data frame. How many outliers do you see?
 Examining Distributions,Chapter 3 Review Questions 2,"9. Using the <code>USStates</code> data frame, make a bar graph to illustrate the number of states that voted for McCain and Obama (recorded as the variable <code>Pres2008</code>). Based on what you see, which of the following statements is true?"
 Examining Distributions,Chapter 3 Review Questions 2,10. What proportion of states (recorded as the variable <code>Pres2008</code>) was won by Obama? (Hint: use the <code>tally</code> command.)
 Examining Distributions,Chapter 3 Review Questions 2,"<p><code>NutritionStudy&nbsp;</code>contains data for 315 patients at a hospital who had a noncancerous growth removed through surgery.&nbsp; It includes the following variables:</p>

<ul>
	<li><code>ID -&nbsp;</code>ID number for each subject in this sample</li>
	<li><code>Age -&nbsp;</code>Subject's age (in years)</li>
	<li><code>Vitamin -&nbsp;</code>Vitamin use: 1=Regular, 2=Occasional, or 3=No</li>
	<li><code>Calories -&nbsp;</code>Number of calories consumed per day</li>
	<li><code>Fat -&nbsp;</code>Grams of fat consumed per day</li>
	<li><code>Fiber -&nbsp;</code>Grams of fiber consumed per day</li>
	<li><code>Alcohol -&nbsp;</code>Number of alcoholic drinks consumed per week</li>
	<li><code>Cholesterol -&nbsp;</code>Cholesterol consumed per day, in mg</li>
	<li><code>Gender -&nbsp;</code>Coded as Female or Male</li>
	<li><code>EverSmoke -&nbsp;</code>Smoking status: Never, Former, or Current&nbsp;</li>
</ul>

<p>Here's the result from running&nbsp;<code>head(NutritionStudy)</code>:</p>

<pre><code>  Age Vitamin Calories  Fat Fiber Alcohol Cholesterol Gender EverSmoke
1  64       1   1298.8 57.0   6.3     0.0       170.3 Female    Former
2  76       1   1032.5 50.1  15.8     0.0        75.8 Female     Never
3  38       2   2372.3 83.6  19.1    14.1       257.9 Female    Former
4  40       3   2449.5 97.5  26.5     0.5       332.6 Female    Former
5  72       1   1952.1 82.6  16.2     0.0       170.8 Female     Never
6  40       3   1366.9 56.0   9.6     1.3       154.6 Female    Former
</code></pre>

<p>11. The histogram below shows the distribution of <code>Alcohol</code> with an outlier removed. What is the ""count"" on the y-axis a count of?</p>

<p><img alt=""A histogram of the distribution of Alcohol in NutritionStudy."" height=""264"" src=""https://assets.learnosity.com/organisations/430/4da7c7b7-83ba-4d6f-a05f-33872a018b52.png"" width=""500""></p>
"
